GeneID,EC,HMMER,dbCAN_sub,DIAMOND,Number_of_Tools,dbCAN subfam,Subfam Composition,Subfam EC,Substrate,Profile Length,Gene Length,E Value,Profile Start,Profile End,Gene Start,Gene End,Coverage
jgi|Neocon1|107528|CE107527_1577,4.2.2.2:4,PL3_2(118-319),PL3_e16,-,2,PL3_e16,PL3_2:59|PL3:1,4.2.2.2:4,pectin,189,343,4.40E-62,2,184,120,314,"0.9629629629629629	0.9629629629629629"
jgi|Neocon1|107542|CE107541_1938,4.2.2.2:4,PL3_2(118-319),PL3_e16,-,2,PL3_e16,PL3_2:59|PL3:1,4.2.2.2:4,pectin,189,343,4.40E-62,2,184,120,314,"0.9629629629629629	0.9629629629629629"
jgi|Neocon1|11503|CE11502_88,-,CE4(28-154),CE4_e369,CE4,3,CE4_e369,CE4:62,-,unassigned,118,347,1.30E-34,2,118,29,151,"0.9830508474576272	0.9830508474576272"
jgi|Neocon1|116193|CE116192_877,-|-,CE1(184-411)+CE1(507-731),CE1_e22+CE1_e22,-,2,CE1_e22,CE1:6|CBM48:2|CE0:2,-,unassigned,206,753,2.80E-34,2,205,516,742,"0.9854368932038835	0.9854368932038835"
jgi|Neocon1|117885|CE117884_10134,3.1.1.72:6|3.1.1.73:2,CE6(89-198),CE6_e2,CE6+3.1.1.72,3,CE6_e2,CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1,3.1.1.72:6|3.1.1.73:2,xylan,111,500,2.00E-47,1,110,91,198,"0.9819819819819819	0.9819819819819819"
jgi|Neocon1|122615|CE122614_4690,3.2.1.91:55|3.2.1.4:4,GH6(152-455),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,495,8.30E-108,2,295,155,455,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|122621|CE122620_4326,3.2.1.91:55|3.2.1.4:4,GH6(152-455),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,495,8.30E-108,2,295,155,455,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|122622|CE122621_5183,3.2.1.91:55|3.2.1.4:4,GH6(152-455),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,495,8.30E-108,2,295,155,455,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|122637|CE122636_2507,3.2.1.91:55|3.2.1.4:4,GH6(152-455),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,495,8.30E-108,2,295,155,455,"0.9932203389830508	0.9932203389830508"
jgi|Neocon1|122638|CE122637_1410,3.2.1.91:55|3.2.1.4:4,GH6(152-455),GH6_e20,GH6+3.2.1.91,3,GH6_e20,GH6:222|CBM1:116|GH131:1,3.2.1.91:55|3.2.1.4:4,"cellulose, cellulose",295,495,1.50E-107,2,295,155,455,"0.9932203389830508	0.9932203389830508"
