proteinId	annotation	name
Neocon1|28	GT10	GlycosylTransferase Family 10
Neocon1|5034	CE2	Carbohydrate Esterase Family 2
Neocon1|5034	CE2	Carbohydrate Esterase Family 2
Neocon1|5126	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|11072	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|11503	CE4	Carbohydrate Esterase Family 4
Neocon1|17897	GH3	Glycoside Hydrolase Family 3
Neocon1|18249	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|18249	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|18249	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|18249	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|18249	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|18249	CE4	Carbohydrate Esterase Family 4
Neocon1|23852	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|23852	DOC2	
Neocon1|23852	DOC2	
Neocon1|23852	GH5_7	Glycoside Hydrolase Family 5 / Subf 7
Neocon1|27171	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|28318	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|28318	GH11	Glycoside Hydrolase Family 11
Neocon1|35491	GH43	Glycoside Hydrolase Family 43
Neocon1|39754	GH11	Glycoside Hydrolase Family 11
Neocon1|49524	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|50765	GT35	GlycosylTransferase Family 35
Neocon1|52035	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|52035	CE12	Carbohydrate Esterase Family 12
Neocon1|52206	GH10	Glycoside Hydrolase Family 10
Neocon1|52206	GH10	Glycoside Hydrolase Family 10
Neocon1|58846	CBM1	Carbohydrate-Binding Module Family 1
Neocon1|58846	PL3_2	Polysaccharide Lyase Family 3 / Subf 2
Neocon1|60116	GT10	GlycosylTransferase Family 10
Neocon1|65594	CBM10	Carbohydrate-Binding Module Family 10
Neocon1|65594	CBM10	Carbohydrate-Binding Module Family 10
Neocon1|71013	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|72934	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|72934	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|72934	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|73352	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|73352	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|73352	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|73352	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|73352	CBM18	Carbohydrate-Binding Module Family 18
Neocon1|80693	DOC2	
Neocon1|80693	DOC2	
Neocon1|80693	GH6	Glycoside Hydrolase Family 6
Neocon1|80704	DOC2	
Neocon1|80704	DOC2	
Neocon1|80704	GH6	Glycoside Hydrolase Family 6
Neocon1|80722	DOC2	
Neocon1|80722	DOC2	
Neocon1|80722	GH6	Glycoside Hydrolase Family 6
Neocon1|80740	DOC2	
Neocon1|80740	DOC2	
Neocon1|80740	GH6	Glycoside Hydrolase Family 6
Neocon1|80741	DOC2	
Neocon1|80741	DOC2	
Neocon1|80741	GH6	Glycoside Hydrolase Family 6
Neocon1|80782	DOC2	
Neocon1|80782	DOC2	
Neocon1|80782	GH6	Glycoside Hydrolase Family 6
Neocon1|80789	DOC2	
Neocon1|80789	DOC2	
Neocon1|80789	GH6	Glycoside Hydrolase Family 6
Neocon1|80795	DOC2	
Neocon1|80795	DOC2	
Neocon1|80795	GH6	Glycoside Hydrolase Family 6
Neocon1|81192	GH11	Glycoside Hydrolase Family 11
Neocon1|81346	GT2	GlycosylTransferase Family 2
Neocon1|83420	GH5_7	Glycoside Hydrolase Family 5 / Subf 7
Neocon1|85994	GT4	GlycosylTransferase Family 4
Neocon1|86230	GH31	Glycoside Hydrolase Family 31
